Designator,Mid X,Mid Y,Rotation,Layer
C1,111.6,-65.2,180.0,top
C2,113.6,-72.75,180.0,top
C3,109.4,-72.75,180.0,top
C4,111.5,-73.85,0.0,top
CB1,101.3,-71.8,90.0,top
CG1,97.8,-71.8,90.0,top
CR1,94.3,-71.8,90.0,top
D1,114.3,-70.1,90.0,top
D2,107.4,-70.75,90.0,top
J1,103.85,-64.9,25.0,top
J2,101.275,-66.1,25.0,top
J3,98.7,-67.3,25.0,top
J4,103.3,-65.4,335.0,bottom
J5,116.5,-68.9,330.0,bottom
J6,115.0,-66.6,330.0,bottom
J7,113.5,-63.9,30.0,top
J8,109.4,-62.6,155.0,bottom
L1,108.8,-67.3,180.0,top
R1,109.4,-73.85,180.0,top
R2,111.5,-72.75,0.0,top
R3,109.3,-65.2,0.0,top
RB1,104.5,-71.5,180.0,top
RG1,104.5,-69.9,180.0,top
RR1,104.5,-73.1,180.0,top
S1,85.366,-79.997,0.0,top
U1,110.85,-70.25,180.0,top
